src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.20.0.30,172.20.0.20,45668,53,17,2026-05-03 06:32:40,0.00403,232258.06451612906,744.4168734491316,496.2779156327544,248.1389578163772,2,1,624,312,312,312,312.0,0.0,312,312,312.0,0.0,312,312,312.0,0.0,0.0,40,20,20,2,0.002015,0.00403,0.0,0.002015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,312.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.0,312.0,0,2,1,624,312
172.20.0.30,172.20.0.20,33222,53,17,2026-05-03 06:32:40,0.031854,34658.12770766623,94.17969485778866,62.786463238525776,31.393231619262888,2,1,608,496,304,304,304.0,0.0,496,496,496.0,0.0,496,304,368.0,90.50966799187809,8192.0,40,20,20,2,0.015927,0.031854,0.0,0.015927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,368.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.0,496.0,0,2,1,608,496
172.20.0.30,172.20.0.20,43046,53,17,2026-05-03 06:32:40,0.001535,194136.80781758958,1954.3973941368079,1302.9315960912054,651.4657980456027,2,1,188,110,94,94,94.0,0.0,110,110,110.0,0.0,110,94,99.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0007675,0.001535,0.0,0.0007675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,99.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,110.0,0,2,1,188,110
172.20.0.30,172.20.0.20,50942,53,17,2026-05-03 06:32:40,0.000242,1231404.958677686,12396.694214876034,8264.462809917355,4132.231404958678,2,1,188,110,94,94,94.0,0.0,110,110,110.0,0.0,110,94,99.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.000121,0.000242,0.0,0.000121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,99.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,110.0,0,2,1,188,110
172.20.0.30,172.20.0.20,47172,53,17,2026-05-03 06:32:40,0.000219,1360730.5936073058,13698.630136986301,9132.4200913242,4566.2100456621,2,1,188,110,94,94,94.0,0.0,110,110,110.0,0.0,110,94,99.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0001095,0.000219,0.0,0.0001095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,99.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,110.0,0,2,1,188,110
172.20.0.30,172.20.0.20,33449,53,17,2026-05-03 06:32:40,9.4e-05,3170212.765957447,31914.89361702128,21276.595744680853,10638.297872340427,2,1,188,110,94,94,94.0,0.0,110,110,110.0,0.0,110,94,99.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,4.7e-05,9.4e-05,0.0,4.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,99.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,110.0,0,2,1,188,110
172.20.0.30,172.20.0.20,53679,53,17,2026-05-03 06:32:40,0.00017,1823529.4117647058,17647.05882352941,11764.70588235294,5882.35294117647,2,1,196,114,98,98,98.0,0.0,114,114,114.0,0.0,114,98,103.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,8.5e-05,0.00017,0.0,8.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,103.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,114.0,0,2,1,196,114
172.20.0.30,172.20.0.20,37224,53,17,2026-05-03 06:32:40,0.000259,3675675.6756756757,11583.011583011583,7722.007722007722,3861.003861003861,2,1,624,328,312,312,312.0,0.0,328,328,328.0,0.0,328,312,317.3333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0001295,0.000259,0.0,0.0001295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,317.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.0,328.0,0,2,1,624,328
172.20.0.30,172.20.0.20,43910,53,17,2026-05-03 06:32:40,0.000216,2754629.6296296297,13888.888888888889,9259.25925925926,4629.62962962963,2,1,386,209,193,193,193.0,0.0,209,209,209.0,0.0,209,193,198.33333333333334,7.542472332656507,56.888888888888886,40,20,20,2,0.000108,0.000216,0.0,0.000108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,198.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.0,209.0,0,2,1,386,209
172.20.0.30,172.20.0.20,34020,53,17,2026-05-03 06:32:40,0.000633,489731.4375987362,4739.336492890995,3159.55766192733,1579.778830963665,2,1,196,114,98,98,98.0,0.0,114,114,114.0,0.0,114,98,103.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0003165,0.000633,0.0,0.0003165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,103.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,114.0,0,2,1,196,114
172.20.0.30,172.20.0.20,43626,53,17,2026-05-03 06:32:41,0.000582,532646.0481099656,5154.639175257732,3436.426116838488,1718.213058419244,2,1,196,114,98,98,98.0,0.0,114,114,114.0,0.0,114,98,103.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.000291,0.000582,0.0,0.000291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,103.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,114.0,0,2,1,196,114
172.20.0.30,172.20.0.20,52765,53,17,2026-05-03 06:32:41,0.001441,215128.38306731437,2081.887578070784,1387.9250520471894,693.9625260235947,2,1,196,114,98,98,98.0,0.0,114,114,114.0,0.0,114,98,103.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0007205,0.001441,0.0,0.0007205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,103.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,114.0,0,2,1,196,114
