src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.20.0.30,172.20.0.20,58696,53,17,2026-05-03 06:40:40,0.001109,844003.6068530207,2705.139765554554,1803.4265103697026,901.7132551848513,2,1,624,312,312,312,312.0,0.0,312,312,312.0,0.0,312,312,312.0,0.0,0.0,40,20,20,2,0.0005545,0.001109,0.0,0.0005545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,312.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.0,312.0,0,2,1,624,312
172.20.0.30,172.20.0.20,45127,53,17,2026-05-03 06:40:40,0.003977,277596.17802363593,754.3374402816194,502.89162685441295,251.44581342720647,2,1,608,496,304,304,304.0,0.0,496,496,496.0,0.0,496,304,368.0,90.50966799187809,8192.0,40,20,20,2,0.0019885,0.003977,0.0,0.0019885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,368.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.0,496.0,0,2,1,608,496
172.20.0.30,172.20.0.20,41100,53,17,2026-05-03 06:40:40,0.000183,1612021.8579234972,16393.44262295082,10928.96174863388,5464.48087431694,2,1,186,109,93,93,93.0,0.0,109,109,109.0,0.0,109,93,98.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,9.15e-05,0.000183,0.0,9.15e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,98.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,109.0,0,2,1,186,109
172.20.0.30,172.20.0.20,43301,53,17,2026-05-03 06:40:40,0.00013,2269230.7692307695,23076.923076923078,15384.615384615387,7692.307692307693,2,1,186,109,93,93,93.0,0.0,109,109,109.0,0.0,109,93,98.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,6.5e-05,0.00013,0.0,6.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,98.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,109.0,0,2,1,186,109
172.20.0.30,172.20.0.20,43809,53,17,2026-05-03 06:40:40,0.000175,1685714.2857142857,17142.85714285714,11428.57142857143,5714.285714285715,2,1,186,109,93,93,93.0,0.0,109,109,109.0,0.0,109,93,98.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,8.75e-05,0.000175,0.0,8.75e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,98.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,109.0,0,2,1,186,109
172.20.0.30,172.20.0.20,46913,53,17,2026-05-03 06:40:40,0.000155,1903225.8064516129,19354.83870967742,12903.225806451614,6451.612903225807,2,1,186,109,93,93,93.0,0.0,109,109,109.0,0.0,109,93,98.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,7.75e-05,0.000155,0.0,7.75e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,98.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,109.0,0,2,1,186,109
172.20.0.30,172.20.0.20,57324,53,17,2026-05-03 06:40:40,0.002218,137060.41478809738,1352.569882777277,901.7132551848513,450.85662759242564,2,1,192,112,96,96,96.0,0.0,112,112,112.0,0.0,112,96,101.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.001109,0.002218,0.0,0.001109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,101.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,112.0,0,2,1,192,112
172.20.0.30,172.20.0.20,45099,53,17,2026-05-03 06:40:40,0.000235,2531914.8936170214,12765.95744680851,8510.638297872341,4255.319148936171,2,1,386,209,193,193,193.0,0.0,209,209,209.0,0.0,209,193,198.33333333333334,7.542472332656507,56.888888888888886,40,20,20,2,0.0001175,0.000235,0.0,0.0001175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,198.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.0,209.0,0,2,1,386,209
172.20.0.30,172.20.0.20,40009,53,17,2026-05-03 06:40:40,0.000162,5876543.209876543,18518.51851851852,12345.679012345678,6172.839506172839,2,1,624,328,312,312,312.0,0.0,328,328,328.0,0.0,328,312,317.3333333333333,7.542472332656507,56.88888888888889,40,20,20,2,8.1e-05,0.000162,0.0,8.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,317.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.0,328.0,0,2,1,624,328
172.20.0.30,172.20.0.20,42420,53,17,2026-05-03 06:40:40,0.001855,163881.40161725067,1617.2506738544473,1078.167115902965,539.0835579514825,2,1,192,112,96,96,96.0,0.0,112,112,112.0,0.0,112,96,101.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0009275,0.001855,0.0,0.0009275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,101.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,112.0,0,2,1,192,112
172.20.0.30,172.20.0.20,33654,53,17,2026-05-03 06:40:40,0.001777,171074.84524479462,1688.2386043894205,1125.4924029262802,562.7462014631401,2,1,192,112,96,96,96.0,0.0,112,112,112.0,0.0,112,96,101.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0008885,0.001777,0.0,0.0008885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,101.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,112.0,0,2,1,192,112
172.20.0.30,172.20.0.20,48034,53,17,2026-05-03 06:40:41,0.001092,278388.2783882784,2747.252747252747,1831.5018315018312,915.7509157509156,2,1,192,112,96,96,96.0,0.0,112,112,112.0,0.0,112,96,101.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.000546,0.001092,0.0,0.000546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,101.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,112.0,0,2,1,192,112
172.20.0.30,172.20.0.20,33928,53,17,2026-05-03 06:40:41,0.003456,87962.96296296296,868.0555555555555,578.7037037037037,289.35185185185185,2,1,192,112,96,96,96.0,0.0,112,112,112.0,0.0,112,96,101.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.001728,0.003456,0.0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,101.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,112.0,0,2,1,192,112
172.20.0.30,172.20.0.20,39848,53,17,2026-05-03 06:40:41,0.00072,422222.2222222222,4166.666666666666,2777.777777777778,1388.888888888889,2,1,192,112,96,96,96.0,0.0,112,112,112.0,0.0,112,96,101.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.00036,0.00072,0.0,0.00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,101.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,112.0,0,2,1,192,112
172.20.0.30,172.20.0.20,43379,53,17,2026-05-03 06:40:42,0.001402,216833.09557774608,2139.8002853067046,1426.5335235378031,713.2667617689016,2,1,192,112,96,96,96.0,0.0,112,112,112.0,0.0,112,96,101.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.000701,0.001402,0.0,0.000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,101.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,112.0,0,2,1,192,112
