strategy,model,evasion_rate,n_flows,attack_type
naive,RF,0.0,20,black-box
naive,GB,0.0,20,black-box
naive,XGB,0.0,20,black-box
timing_only,RF,0.0,20,black-box
timing_only,GB,0.4,20,black-box
timing_only,XGB,0.0,20,black-box
size_mimicry,RF,0.0,20,black-box
size_mimicry,GB,0.4,20,black-box
size_mimicry,XGB,0.0,20,black-box
cover_traffic,RF,0.0,20,black-box
cover_traffic,GB,0.25,20,black-box
cover_traffic,XGB,0.0,20,black-box
full_mimicry,RF,0.0,20,black-box
full_mimicry,GB,0.5,20,black-box
full_mimicry,XGB,0.0,20,black-box
adaptive,RF,0.0,20,black-box
adaptive,GB,0.5,20,black-box
adaptive,XGB,0.0,20,black-box
