strategy,model,evasion_rate,mean_confidence,n_flows
naive,RF,1.0,0.46240000000000003,5
naive,GB,1.0,3.8790297664743744e-07,5
naive,XGB,1.0,0.1765931248664856,5
timing_only,RF,1.0,0.47040000000000004,5
timing_only,GB,1.0,1.0923125308194002e-07,5
timing_only,XGB,1.0,0.21986982226371765,5
size_mimicry,RF,1.0,0.47359999999999997,5
size_mimicry,GB,1.0,5.329120442023492e-08,5
size_mimicry,XGB,1.0,0.18908116221427917,5
cover_traffic,RF,1.0,0.4715999999999999,5
cover_traffic,GB,1.0,9.158719357709264e-08,5
cover_traffic,XGB,1.0,0.20156922936439514,5
full_mimicry,RF,1.0,0.47119999999999995,5
full_mimicry,GB,1.0,1.8682319153313742e-07,5
full_mimicry,XGB,1.0,0.2449028491973877,5
adaptive,RF,1.0,0.4716,5
adaptive,GB,1.0,9.561905084854394e-08,5
adaptive,XGB,1.0,0.20156922936439514,5
