pcap,true_label,model,flows,detected_malicious,accuracy,mean_confidence
C2 Quiet Beacon,1,RF,21,21,1.0,0.8640000000000001
C2 Quiet Beacon,1,GB,21,21,1.0,0.9999998080121456
C2 Quiet Beacon,1,XGB,21,21,1.0,0.9806792140007019
C2 Discovery,1,RF,454,454,1.0,0.7651585903083701
C2 Discovery,1,GB,454,15,0.03303964757709251,0.035183334347801326
C2 Discovery,1,XGB,454,18,0.039647577092511016,0.04119130223989487
C2 Exfiltration,1,RF,13416,13416,1.0,0.8559983601669648
C2 Exfiltration,1,GB,13416,13286,0.9903100775193798,0.9879510747347876
C2 Exfiltration,1,XGB,13416,13303,0.991577221228384,0.9193134903907776
Benign Web,0,RF,100,100,0.0,0.8246999999999999
Benign Web,0,GB,100,100,0.0,0.9980470254776357
Benign Web,0,XGB,100,74,0.26,0.5578371286392212
C2 Lateral Scan,1,RF,175,175,1.0,0.7704914285714285
C2 Lateral Scan,1,GB,175,7,0.04,0.04498689674973267
C2 Lateral Scan,1,XGB,175,10,0.05714285714285714,0.05910216271877289
